Code,Position,Latitute,Longitude ,Tree age,Origin
Cri19N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri19N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri19N-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri19N-5,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri19S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20N-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-6,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-10,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-11,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-14,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-17,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-19,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-21,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-24,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-27,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-29,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-33,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-35,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri20S-36,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri16S+4,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S+1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri17S+2,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri17S+3,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri18S+2,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri18S+3,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri18S+4,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri18S+5,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri19S+1,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri19S+2,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
Cri20S+1,Wenchang city of Hainan province,19.53,110.76,Eight years,Africa
